3914 N_2+ N_2+
4170.1 O2 O2
4195.9 O2 O2
4881 O2 O2
5197.92 [NI] [NI]
5200.28 [NI] [NI]
5224.14 OH OH
5238.75 OH OH
5256.75 OH OH
5274.58 OH OH
5542.28 OH OH
5577.34 [OI] [OI]
5605.17 OH OH
5623.83 OH OH
5645.16 OH OH
5867.58 OH OH
5915.30 OH OH
5932.86 OH OH
5953.42 OH OH
5976.95 OH OH
6003.91 OH OH
6033.78 OH OH
6144.48 OH OH
6170.64 OH OH
6202.72 OH OH
6221.77 OH OH
6234.33 OH OH
6257.96 OH OH
6300.23 [OI] [OI]
6329.85 OH OH
6363.78 [OI] [OI]
6464 OH OH
6498.72 OH OH
6533.04 OH OH
6553.62 OH OH
6577.28 OH OH
6634.23 OH OH
6834.42 OH OH
6863.96 OH OH
6889.29 OH OH
6900.83 OH OH
6923.22 OH OH
6949.03 OH OH
6974.40 OH OH
7011.40 OH OH
7088.60 OH OH
7244.91 OH OH
7278.98 OH OH
7316.29 OH OH
7340.89 OH OH
7369.38 OH OH
7401.86 OH OH
7438.47 OH OH
7524.47 OH OH
